"DisplayName","UserPrincipalName","Department","JobTitle","EmployeeId","CreatedDateTime"
"Eduardo Ribeiro","eduardo.ribeiro@fiqueok.com.br","Technology - DevOps","Cloud Engineer","FP016","3/1/2026 10:01:06 PM"
"Elaine Cardin","elaine.cardin@fiqueok.com.br","Technology - DevOps","Cloud Architect","FP097","3/1/2026 10:01:45 PM"
"Emanuel Nogueira","emanuel.nogueira@fiqueok.com.br","Technology - DevOps","Infrastructure Engineer","FP081","3/1/2026 10:01:37 PM"
"Fabio Correia","fabio.correia@fiqueok.com.br","Technology - Data","DataOps Engineer","FP067","3/1/2026 10:01:31 PM"
"Felipe Barbosa","felipe.barbosa@fiqueok.com.br","Technology - Dev","Frontend Developer","FP012","3/1/2026 10:01:04 PM"
"Felipe Lourenco","felipe.lourenco@fiqueok.com.br","Technology - Dev","Software Engineer","FP072","3/1/2026 10:01:33 PM"
"Fernanda Rossetti","fernanda.rossetti@fiqueok.com.br","Fraud & Compliance","Laundering Prevention Specialist","FP100","3/1/2026 10:01:46 PM"
"Gabriel Martins","gabriel.martins@fiqueok.com.br","Technology - Dev","Junior Developer","FP010","3/1/2026 10:01:03 PM"
"Gabriela Cruz","gabriela.cruz@fiqueok.com.br","Commercial & CS","Sales Development Rep","FP051","3/1/2026 10:01:24 PM"
"Guilherme Lira","guilherme.lira@fiqueok.com.br","Technology - Dev","Backend Developer","FP096","3/1/2026 10:01:44 PM"
"Gustavo Castro","gustavo.castro@fiqueok.com.br","Technology - Data","Data Analyst","FP024","3/1/2026 10:01:10 PM"
"Gustavo Franco","gustavo.franco@fiqueok.com.br","Technology - Security","Penetration Tester","FP074","3/1/2026 10:01:34 PM"
"Helena Ferreira","helena.ferreira@fiqueok.com.br","Operations","Payment Execution Lead","FP037","3/1/2026 10:01:17 PM"
"Helena Santiago","helena.santiago@fiqueok.com.br","Technology - Dev","QA Engineer","FP088","3/1/2026 10:01:40 PM"
"Henrique Falc̣o","henrique.falcao@fiqueok.com.br","Fraud & Compliance","Risk and Control Officer","FP045","3/1/2026 10:01:21 PM"
"Igor Americo","igor.americo@fiqueok.com.br","Technology - DevOps","Cloud Administrator","FP065","3/1/2026 10:01:30 PM"
"Jessica Cardoso","jessica.cardoso@fiqueok.com.br","Technology - Data","ETL Specialist","FP027","3/1/2026 10:01:12 PM"
"Joana Batista","joana.batista@fiqueok.com.br","HR & Finance","People Business Partner","FP062","3/1/2026 10:01:29 PM"
"Joao Meireles","joao.meireles@fiqueok.com.br","Fraud & Compliance","Fraud Detection Specialist","FP043","3/1/2026 10:01:20 PM"
"Jonathan Lopes","jonathan.lopes@fiqueok.com.br","Technology - Security","Security Architect","FP022","3/1/2026 10:01:09 PM"
"Juliana Lima","juliana.lima@fiqueok.com.br","Technology - Dev","Software Engineer","FP009","3/1/2026 10:01:02 PM"
"Julio Oliveira","julio.oliveira@fiqueok.com.br","Technology - DevOps","Release Manager","FP089","3/1/2026 10:01:41 PM"
"Karla Vasconcelos","karla.vasconcelos@fiqueok.com.br","Operations","Settlement Associate","FP068","3/1/2026 10:01:31 PM"
"Larissa Campos","larissa.campos@fiqueok.com.br","Technology - Data","Data Scientist","FP025","3/1/2026 10:01:10 PM"
"Laszlo Bock","laszlo.bock@fiqueok.com.br","Executive","CHRO","FP006","3/1/2026 10:01:01 PM"
"Leandro Rezende","leandro.rezende@fiqueok.com.br","Operations","Chargeback Analyst","FP076","3/1/2026 10:01:35 PM"
"Leonardo Moreira","leonardo.moreira@fiqueok.com.br","Technology - DevOps","Site Reliability Engineer","FP017","3/1/2026 10:01:06 PM"
"Leticia Marques","leticia.marques@fiqueok.com.br","Fraud & Compliance","AML Officer","FP042","3/1/2026 10:01:19 PM"
"Livia Sales","livia.sales@fiqueok.com.br","Fraud & Compliance","Fraud Operations Analyst","FP044","3/1/2026 10:01:20 PM"
"Lucas Carvalho","lucas.carvalho@fiqueok.com.br","Technology - Dev","Senior Software Engineer","FP008","3/1/2026 10:01:02 PM"
"Lucas Toscano","lucas.toscano@fiqueok.com.br","Technology - Dev","Software Architect","FP080","3/1/2026 10:01:37 PM"
"Luciana Ferraz","luciana.ferraz@fiqueok.com.br","Commercial & CS","Account Manager","FP052","3/1/2026 10:01:24 PM"
"Luisa Sotero","luisa.sotero@fiqueok.com.br","Executive","COO","FP003","3/1/2026 10:00:59 PM"
"Marcelo Tavares","marcelo.tavares@fiqueok.com.br","Operations","Settlement Coordinator","FP031","3/1/2026 10:01:14 PM"
"Marcos Goncalves","marcos.goncalves@fiqueok.com.br","Technology - Security","IAM Specialist","FP020","3/1/2026 10:01:08 PM"
"Marcos Teixeira","marcos.teixeira@fiqueok.com.br","Commercial & CS","Channel Partner Manager","FP094","3/1/2026 10:01:43 PM"
"Mariana Quevedo","mariana.quevedo@fiqueok.com.br","Operations","Operations Analyst","FP084","3/1/2026 10:01:39 PM"
"Michele Carneiro","michele.carneiro@fiqueok.com.br","Commercial & CS","Retention Specialist","FP055","3/1/2026 10:01:25 PM"
"Murilo Barros","murilo.barros@fiqueok.com.br","Operations","Settlement Assistant","FP035","3/1/2026 10:01:16 PM"
"Murilo Vasques","murilo.vasques@fiqueok.com.br","HR & Finance","Financial Controller","FP087","3/1/2026 10:01:40 PM"
"Natalia Lacerda","natalia.lacerda@fiqueok.com.br","HR & Finance","Finance Analyst","FP059","3/1/2026 10:01:27 PM"
"Patricia Macedo","patricia.macedo@fiqueok.com.br","HR & Finance","Recruiter","FP071","3/1/2026 10:01:33 PM"
"Patricia Silva","patricia.silva@fiqueok.com.br","Technology - Dev","Backend Engineer","FP011","3/1/2026 10:01:03 PM"
"Paula Bernardes","paula.bernardes@fiqueok.com.br","Fraud & Compliance","Compliance Assistant","FP093","3/1/2026 10:01:43 PM"
"Paulo Henrique","paulo.henrique@fiqueok.com.br","Commercial & CS","Marketing Analyst","FP054","3/1/2026 10:01:25 PM"
"Pedro Queiroz","pedro.queiroz@fiqueok.com.br","Commercial & CS","Customer Success Lead","FP048","3/1/2026 10:01:22 PM"
"Priscila Duarte","priscila.duarte@fiqueok.com.br","Fraud & Compliance","Compliance Analyst","FP040","3/1/2026 10:01:18 PM"
"Rafaela Viana","rafaela.viana@fiqueok.com.br","Fraud & Compliance","Cyber Risk Analyst","FP047","3/1/2026 10:01:22 PM"
"Raul Andrade","raul.andrade@fiqueok.com.br","Technology - Data","BI Analyst","FP083","3/1/2026 10:01:38 PM"
"Rafaela Costa","rawfaela.costa@fiqueok.com.br","HR & Finance","HR Coordinator","FP095","3/1/2026 10:01:44 PM"
"Renata Azevedo","renata.azevedo@fiqueok.com.br","Technology - Dev","Mobile Developer","FP013","3/1/2026 10:01:04 PM"
"Renato Silveira","renato.silveira@fiqueok.com.br","Commercial & CS","Pre-Sales Engineer","FP053","3/1/2026 10:01:24 PM"
"Ricardo Ferraz","ricardo.ferraz@fiqueok.com.br","Technology - Data","Analytics Engineer","FP098","3/1/2026 10:01:45 PM"
"Ricardo Guerra","ricardo.guerra@fiqueok.com.br","Executive","CIO","FP005","3/1/2026 10:01:00 PM"
"Ricardo Moraes","ricardo.moraes@fiqueok.com.br","Technology - Data","BI Developer","FP026","3/1/2026 10:01:11 PM"
"Roberta Vidal","roberta.vidal@fiqueok.com.br","Technology - Dev","Backend Developer","FP064","3/1/2026 10:01:29 PM"
"Rodrigo Mendes","rodrigo.mendes@fiqueok.com.br","Technology - Data","Data Governance Specialist","FP091","3/1/2026 10:01:42 PM"
"Rodrigo Monteiro","rodrigo.monteiro@fiqueok.com.br","Fraud & Compliance","Senior Fraud Investigator","FP039","3/1/2026 10:01:18 PM"
"Rogerio Neves","rogerio.neves@fiqueok.com.br","Operations","Payment Operations Analyst","FP033","3/1/2026 10:01:15 PM"
"Sabrina Mota","sabrina.mota@fiqueok.com.br","HR & Finance","HR Analyst","FP058","3/1/2026 10:01:27 PM"
"Samuel Rocha","samuel.rocha@fiqueok.com.br","Technology - Dev","Front-End Developer","FP063","3/1/2026 10:01:29 PM"
"Sergio Amaral","sergio.amaral@fiqueok.com.br","Fraud & Compliance","KYC Specialist","FP041","3/1/2026 10:01:19 PM"
"Sofia Bueno","sofia.bueno@fiqueok.com.br","Fraud & Compliance","Compliance Auditor","FP077","3/1/2026 10:01:35 PM"
"Taina Lopes","taina.lopes@fiqueok.com.br","Operations","Chargeback Assistant","FP099","3/1/2026 10:01:46 PM"
"Tatiana Castilho","tatiana.castilho@fiqueok.com.br","Commercial & CS","Communication Coordinator","FP056","3/1/2026 10:01:26 PM"
"Tatiana Pozzebon","tatiana.pozzebon@fiqueok.com.br","Technology - Security","SOC Analyst","FP090","3/1/2026 10:01:41 PM"
"Tatiane Nunes","tatiane.nunes@fiqueok.com.br","Technology - DevOps","DevOps Engineer","FP015","3/1/2026 10:01:05 PM"
"Thiago Pazinato","thiago.pazinato@fiqueok.com.br","Fraud & Compliance","Risk Data Analyst","FP085","3/1/2026 10:01:39 PM"
"Thiago Pereira","thiago.pereira@fiqueok.com.br","Operations","Chargeback Analyst","FP030","3/1/2026 10:01:13 PM"
"Vanessa Dias","vanessa.dias@fiqueok.com.br","Operations","Reconciliation Specialist","FP034","3/1/2026 10:01:15 PM"
"Vinicius Fonseca","vinicius.fonseca@fiqueok.com.br","Commercial & CS","Sales Manager","FP057","3/1/2026 10:01:26 PM"
"Viviane Machado","viviane.machado@fiqueok.com.br","Technology - Data","Data Engineer","FP023","3/1/2026 10:01:09 PM"
