EmployeeID,FirstName,LastName,DisplayName,UserPrincipalName,JobTitle,Department,Salary
"FP020","Marcos","Goncalves","Marcos Goncalves","marcos.goncalves@fiqueok.com.br","IAM Specialist","Technology - Security","19500.00"
"FP021","Beatriz","Ramos","Beatriz Ramos","beatriz.ramos@fiqueok.com.br","Information Security Analyst","Technology - Security","13000.00"
"FP022","Jonathan","Lopes","Jonathan Lopes","jonathan.lopes@fiqueok.com.br","Security Architect","Technology - Security","22000.00"
"FP023","Viviane","Machado","Viviane Machado","viviane.machado@fiqueok.com.br","Data Engineer","Technology - Data","17500.00"
"FP024","Gustavo","Castro","Gustavo Castro","gustavo.castro@fiqueok.com.br","Data Analyst","Technology - Data","12000.00"
"FP025","Larissa","Campos","Larissa Campos","larissa.campos@fiqueok.com.br","Data Scientist","Technology - Data","19000.00"
"FP026","Ricardo","Moraes","Ricardo Moraes","ricardo.moraes@fiqueok.com.br","BI Developer","Technology - Data","14000.00"
"FP027","Jessica","Cardoso","Jessica Cardoso","jessica.cardoso@fiqueok.com.br","ETL Specialist","Technology - Data","15500.00"
"FP028","Carlos","Rezende","Carlos Rezende","carlos.rezende@fiqueok.com.br","Settlement Officer","Operations","9500.00"
"FP029","Amanda","Freitas","Amanda Freitas","amanda.freitas@fiqueok.com.br","Settlement Analyst","Operations","8500.00"
"FP030","Thiago","Pereira","Thiago Pereira","thiago.pereira@fiqueok.com.br","Chargeback Analyst","Operations","10000.00"
"FP031","Marcelo","Tavares","Marcelo Tavares","marcelo.tavares@fiqueok.com.br","Settlement Coordinator","Operations","12000.00"
"FP032","Daniela","Rocha","Daniela Rocha","daniela.rocha@fiqueok.com.br","Chargeback Coordinator","Operations","11500.00"
"FP033","Rogerio","Neves","Rogerio Neves","rogerio.neves@fiqueok.com.br","Payment Operations Analyst","Operations","9000.00"
"FP034","Vanessa","Dias","Vanessa Dias","vanessa.dias@fiqueok.com.br","Reconciliation Specialist","Operations","10500.00"
"FP035","Murilo","Barros","Murilo Barros","murilo.barros@fiqueok.com.br","Settlement Assistant","Operations","7500.00"
"FP036","Daniel","Coelho","Daniel Coelho","daniel.coelho@fiqueok.com.br","Chargeback Specialist","Operations","9500.00"
"FP037","Helena","Ferreira","Helena Ferreira","helena.ferreira@fiqueok.com.br","Payment Execution Lead","Operations","13000.00"
"FP038","Carla","Araijo","Carla Araijo","carla.araujo@fiqueok.com.br","Fraud Analyst","Fraud & Compliance","10000.00"
"FP039","Rodrigo","Monteiro","Rodrigo Monteiro","rodrigo.monteiro@fiqueok.com.br","Senior Fraud Investigator","Fraud & Compliance","14000.00"
"FP040","Priscila","Duarte","Priscila Duarte","priscila.duarte@fiqueok.com.br","Compliance Analyst","Fraud & Compliance","12000.00"
"FP041","Sergio","Amaral","Sergio Amaral","sergio.amaral@fiqueok.com.br","KYC Specialist","Fraud & Compliance","11000.00"
"FP042","Leticia","Marques","Leticia Marques","leticia.marques@fiqueok.com.br","AML Officer","Fraud & Compliance","13500.00"
"FP043","Joao","Meireles","Joao Meireles","joao.meireles@fiqueok.com.br","Fraud Detection Specialist","Fraud & Compliance","12500.00"
"FP044","Livia","Sales","Livia Sales","livia.sales@fiqueok.com.br","Fraud Operations Analyst","Fraud & Compliance","9000.00"
"FP045","Henrique","Falc̣o","Henrique Falc̣o","henrique.falcao@fiqueok.com.br","Risk and Control Officer","Fraud & Compliance","15500.00"
"FP046","Debora","Menezes","Debora Menezes","debora.menezes@fiqueok.com.br","Compliance Coordinator","Fraud & Compliance","13000.00"
"FP047","Rafaela","Viana","Rafaela Viana","rafaela.viana@fiqueok.com.br","Cyber Risk Analyst","Fraud & Compliance","15000.00"
"FP048","Pedro","Queiroz","Pedro Queiroz","pedro.queiroz@fiqueok.com.br","Customer Success Lead","Commercial & CS","12000.00"
"FP049","Ana","Paula","Ana Paula","ana.paula@fiqueok.com.br","Customer Success Analyst","Commercial & CS","8500.00"
"FP050","Carlos","Eduardo","Carlos Eduardo","carlos.eduardo@fiqueok.com.br","Inside Sales Executive","Commercial & CS","11500.00"
"FP051","Gabriela","Cruz","Gabriela Cruz","gabriela.cruz@fiqueok.com.br","Sales Development Rep","Commercial & CS","9500.00"
"FP052","Luciana","Ferraz","Luciana Ferraz","luciana.ferraz@fiqueok.com.br","Account Manager","Commercial & CS","12500.00"
"FP053","Renato","Silveira","Renato Silveira","renato.silveira@fiqueok.com.br","Pre-Sales Engineer","Commercial & CS","15000.00"
"FP054","Paulo","Henrique","Paulo Henrique","paulo.henrique@fiqueok.com.br","Marketing Analyst","Commercial & CS","8500.00"
"FP055","Michele","Carneiro","Michele Carneiro","michele.carneiro@fiqueok.com.br","Retention Specialist","Commercial & CS","9500.00"
"FP056","Tatiana","Castilho","Tatiana Castilho","tatiana.castilho@fiqueok.com.br","Communication Coordinator","Commercial & CS","11000.00"
"FP057","Vinicius","Fonseca","Vinicius Fonseca","vinicius.fonseca@fiqueok.com.br","Sales Manager","Commercial & CS","16500.00"
"FP058","Sabrina","Mota","Sabrina Mota","sabrina.mota@fiqueok.com.br","HR Analyst","HR & Finance","9000.00"
"FP059","Natalia","Lacerda","Natalia Lacerda","natalia.lacerda@fiqueok.com.br","Finance Analyst","HR & Finance","9500.00"
"FP060","Anderson","Peixoto","Anderson Peixoto","anderson.peixoto@fiqueok.com.br","Payroll Specialist","HR & Finance","8500.00"
"FP061","Caroline","Mendes","Caroline Mendes","caroline.mendes@fiqueok.com.br","Accounting Coordinator","HR & Finance","12000.00"
"FP062","Joana","Batista","Joana Batista","joana.batista@fiqueok.com.br","People Business Partner","HR & Finance","13000.00"
"FP063","Samuel","Rocha","Samuel Rocha","samuel.rocha@fiqueok.com.br","Front-End Developer","Technology - Dev","12500.00"
"FP064","Roberta","Vidal","Roberta Vidal","roberta.vidal@fiqueok.com.br","Backend Developer","Technology - Dev","14000.00"
"FP065","Igor","Americo","Igor Americo","igor.americo@fiqueok.com.br","Cloud Administrator","Technology - DevOps","17000.00"
"FP066","Danilo","Assis","Danilo Assis","danilo.assis@fiqueok.com.br","Security Analyst","Technology - Security","13000.00"
"FP067","Fabio","Correia","Fabio Correia","fabio.correia@fiqueok.com.br","DataOps Engineer","Technology - Data","16000.00"
"FP068","Karla","Vasconcelos","Karla Vasconcelos","karla.vasconcelos@fiqueok.com.br","Settlement Associate","Operations","8500.00"
"FP069","Eduarda","Branḍo","Eduarda Branḍo","eduarda.brandao@fiqueok.com.br","Fraud Prevention Analyst","Fraud & Compliance","9500.00"
"FP070","Cassio","Borges","Cassio Borges","cassio.borges@fiqueok.com.br","Account Executive","Commercial & CS","14500.00"
"FP071","Patricia","Macedo","Patricia Macedo","patricia.macedo@fiqueok.com.br","Recruiter","HR & Finance","9500.00"
"FP072","Felipe","Lourenco","Felipe Lourenco","felipe.lourenco@fiqueok.com.br","Software Engineer","Technology - Dev","13500.00"
"FP073","Amanda","Prado","Amanda Prado","amanda.prado@fiqueok.com.br","DevOps Specialist","Technology - DevOps","17500.00"
"FP074","Gustavo","Franco","Gustavo Franco","gustavo.franco@fiqueok.com.br","Penetration Tester","Technology - Security","19500.00"
"FP075","Carla","Ribeiro","Carla Ribeiro","carla.ribeiro@fiqueok.com.br","Machine Learning Engineer","Technology - Data","20000.00"
"FP076","Leandro","Rezende","Leandro Rezende","leandro.rezende@fiqueok.com.br","Chargeback Analyst","Operations","9500.00"
"FP077","Sofia","Bueno","Sofia Bueno","sofia.bueno@fiqueok.com.br","Compliance Auditor","Fraud & Compliance","11500.00"
"FP078","Arthur","Henrique","Arthur Henrique","arthur.henrique@fiqueok.com.br","Customer Experience Designer","Commercial & CS","13000.00"
"FP079","Beatriz","Moreira","Beatriz Moreira","beatriz.moreira@fiqueok.com.br","Compensation Analyst","HR & Finance","10500.00"
"FP080","Lucas","Toscano","Lucas Toscano","lucas.toscano@fiqueok.com.br","Software Architect","Technology - Dev","20000.00"
"FP081","Emanuel","Nogueira","Emanuel Nogueira","emanuel.nogueira@fiqueok.com.br","Infrastructure Engineer","Technology - DevOps","16000.00"
"FP082","Cristina","Alvarenga","Cristina Alvarenga","cristina.alvarenga@fiqueok.com.br","Security Compliance Lead","Technology - Security","21000.00"
"FP083","Raul","Andrade","Raul Andrade","raul.andrade@fiqueok.com.br","BI Analyst","Technology - Data","11000.00"
"FP084","Mariana","Quevedo","Mariana Quevedo","mariana.quevedo@fiqueok.com.br","Operations Analyst","Operations","9500.00"
"FP085","Thiago","Pazinato","Thiago Pazinato","thiago.pazinato@fiqueok.com.br","Risk Data Analyst","Fraud & Compliance","12500.00"
"FP086","Andreia","Abreu","Andreia Abreu","andreia.abreu@fiqueok.com.br","Sales Operations Analyst","Commercial & CS","12000.00"
"FP087","Murilo","Vasques","Murilo Vasques","murilo.vasques@fiqueok.com.br","Financial Controller","HR & Finance","16000.00"
"FP088","Helena","Santiago","Helena Santiago","helena.santiago@fiqueok.com.br","QA Engineer","Technology - Dev","11500.00"
"FP089","Julio","Oliveira","Julio Oliveira","julio.oliveira@fiqueok.com.br","Release Manager","Technology - DevOps","15500.00"
"FP090","Tatiana","Pozzebon","Tatiana Pozzebon","tatiana.pozzebon@fiqueok.com.br","SOC Analyst","Technology - Security","12500.00"
"FP091","Rodrigo","Mendes","Rodrigo Mendes","rodrigo.mendes@fiqueok.com.br","Data Governance Specialist","Technology - Data","16500.00"
"FP092","Camila","Freire","Camila Freire","camila.freire@fiqueok.com.br","Settlement Officer","Operations","10000.00"
"FP093","Paula","Bernardes","Paula Bernardes","paula.bernardes@fiqueok.com.br","Compliance Assistant","Fraud & Compliance","8500.00"
"FP094","Marcos","Teixeira","Marcos Teixeira","marcos.teixeira@fiqueok.com.br","Channel Partner Manager","Commercial & CS","15500.00"
"FP095","Rafaela","Costa","Rafaela Costa","rawfaela.costa@fiqueok.com.br","HR Coordinator","HR & Finance","11000.00"
"FP096","Guilherme","Lira","Guilherme Lira","guilherme.lira@fiqueok.com.br","Backend Developer","Technology - Dev","14000.00"
"FP097","Elaine","Cardin","Elaine Cardin","elaine.cardin@fiqueok.com.br","Cloud Architect","Technology - DevOps","22000.00"
"FP098","Ricardo","Ferraz","Ricardo Ferraz","ricardo.ferraz@fiqueok.com.br","Analytics Engineer","Technology - Data","17500.00"
"FP099","Taina","Lopes","Taina Lopes","taina.lopes@fiqueok.com.br","Chargeback Assistant","Operations","8000.00"
"FP100","Fernanda","Rossetti","Fernanda Rossetti","fernanda.rossetti@fiqueok.com.br","Laundering Prevention Specialist","Fraud & Compliance","14000.00"
